Citation;Expt;Sample;N;crit;Topic;ICC;IAT;IAT type;ECC;expl;Expl type;IEC
;4;2;33;7;Clinical;.201;1;Self;.129;1;Self;.250
Ellwart et al. (2006);1;1;48;3;Clinical;.205;1;Attitude;.677;2;Attitude;.220
;2;2;18;1;Clinical;.635;1;Attitude;.648;2;Attitude;.270
Eyssel & Bohner (2007);1;1;130;1;Gender/sex;-.005;2;Belief;.329;3;Belief;.042
Field et al. (2004);1;1;33;1;Drugs/tobacco;.382;1;Attitude;;;;
Florack et al. (2001);1;1;20;1;Other intergroup;.580;1;Attitude;.200;1;Attitude;.210
;1;2;26;2;Other intergroup;-.210;1;Attitude;-.100;1;Attitude;-.190
;1;3;21;3;Other intergroup;.170;1;Attitude;.630;1;Attitude;.110
*Florack et al. (2004);1;1;105;1;Consumer;.460;2;Att/belief;.710;1;Attitude;.470
;1;2;108;1;Consumer;.480;2;Att/belief;.750;1;Attitude;.410
*Friedman et al. (2001);1;1;122;1;Clinical;.380;1;Self;;;;
;1;2;122;1;Clinical;.100;1;Attitude;;;;
Friese et al. (2006);1;1;25;1;Consumer;.080;1;Attitude;.360;1;Attitude;.390
;1;2;27;2;Consumer;.470;1;Attitude;.740;1;Attitude;.260
Friese et al. (2007);1;1;1.386;10;Politics;.302;5;Attitude;.560;5;Attitude;.409
Friese et al. (2008);1;1;42;1;Consumer;.120;1;Attitude;.600;1;Attitude;.200
;1;2;43;1;Consumer;.450;1;Attitude;.240;1;Attitude;.370
;2;3;33;1;Consumer;-.050;1;Attitude;.350;1;Attitude;.410
;2;4;33;1;Consumer;.290;1;Attitude;-.080;1;Attitude;.010
;3;5;21;1;Drugs/tobacco;-.240;1;Attitude;.380;1;Attitude;.180
;3;6;25;1;Drugs/tobacco;.500;1;Attitude;.110;1;Attitude;.370
Gabriel et al. (2007);1;1;69;1;Gender/sex;-.010;1;Attitude;.174;2;Attitude;.320
Gawronski et al. (2003);1;1;119;1;Gender/sex;.190;1;Belief;;;;
;1;1;35;2;Other intergroup;.181;1;Attitude;.010;1;Belief;.216
;1;2;34;2;Other intergroup;.321;1;Attitude;.110;1;Belief;.161
Gibson (2008);2;1;30;1;Consumer;.487;1;Attitude;.421;1;Attitude;.349
;2;2;30;2;Consumer;.139;1;Attitude;.517;1;Attitude;-.011
Glaser & Knowles (2008);1;1;48;1;Race (Bl/Wh);.290;2;Att/belief;.248;2;Attitude;.298
Gray et al. (2005);1;1;77;1;Clinical;.355;1;Belief;;;;
Green et al. (2007);1;1;207;1;Race (Bl/Wh);.138;2;Att/belief;.021;2;Att/belief;.017
Heider & Skowronski (2007);1;1;140;2;Race (Bl/Wh);.119;1;Attitude;.042;2;Attitude;.003
;2;2;55;4;Race (Bl/Wh);.272;1;Attitude;.038;2;Attitude;.284
Hofmann & Friese (2008);1;1;29;1;Consumer;-.190;1;Attitude;.470;1;Self;.020
;1;2;29;1;Consumer;.400;1;Attitude;.250;1;Self;.260
Hofmann et al. (2007);1;1;26;1;Consumer;.340;1;Attitude;-.290;1;Self;-.290
;1;2;24;2;Consumer;-.090;1;Attitude;.480;1;Self;.480
Hofmann et al. (2008);1;1;85;2;Race (Bl/Wh);.118;1;Attitude;.154;1;Attitude;.341
;2;2;76;2;Race (Bl/Wh);.192;1;Attitude;.002;1;Attitude;.001
Houben & Wiers (2006a);1;1;96;2;Drugs/tobacco;.153;3;Multiple;.301;7;Multiple;.107
Houben & Wiers (2006b);1;1;46;2;Drugs/tobacco;.386;1;Attitude;.110;2;Attitude;.346
Houben & Wiers (2007a);1;1;42;2;Drugs/tobacco;.410;1;Attitude;.126;4;Attitude;.330
Houben & Wiers (2007b);1;1;46;2;Drugs/tobacco;.289;2;Attitude;.348;3;Attitude;.145
Houben & Wiers (2008);1;1;62;1;Drugs/tobacco;.175;4;Attitude;.341;2;Attitude;.086
Hugenberg & Bodenhausen (2003);1;1;24;1;Race (Bl/Wh);.460;1;Attitude;.054;1;Attitude;.360
;2;2;24;1;Race (Bl/Wh);.424;1;Attitude;.187;1;Attitude;-.129
Hugenberg & Bodenhausen (2004);1;1;20;1;Race (Bl/Wh);.345;1;Attitude;.032;1;Attitude;-.068
;2;2;57;1;Race (Bl/Wh);.163;1;Attitude;-.030;1;Attitude;-.230
Huijding et al. (2005);1;1;48;1;Drugs/tobacco;.450;1;Attitude;.692;1;Attitude;.221
Jajodia & Earleywine (2003);1;1;103;3;Drugs/tobacco;.307;1;Belief;.387;1;Belief;.132
Jellison et al. (2004);1;1;39;4;Gender/sex;.258;1;Attitude;.271;1;Attitude;.510
Kaminska-Feldman (2004);1;1;47;1;Other intergroup;.227;1;Attitude;;;;
Karpinski & Hilton (2001);2;1;81;1;Consumer;.030;1;Attitude;.360;3;Multiple;.160
Karpinski & Steinman (2006);1;1;53;1;Consumer;.277;3;Attitude;.540;2;Attitude;.101
Karpinski et al. (2005);1;1;155;1;Politics;.420;1;Attitude;.721;2;Attitude;.460
;2;2;109;1;Consumer;.353;1;Attitude;.698;1;Attitude;.290
;3;3;72;1;Consumer;.550;1;Attitude;.960;2;Attitude;.520
*Lemm (2000);1;1;33;1;Gender/sex;.380;1;Attitude;-.160;1;Belief;.130
*Levesque & Brown (2004);2;1;69;1;Personality;.140;1;Self;.440;1;Self;.190
;3;2;78;2;Personality;.060;1;Self;.270;1;Self;-.020
*Livingston (2002);1;1;34;1;Other intergroup;.370;1;Attitude;.025;2;Belief;
;2;2;34;1;Other intergroup;.040;1;Attitude;-.265;2;Belief;
;2;3;31;2;Race (Bl/Wh);.430;2;Attitude;.262;2;Belief;.290
Maison et al. (2001);1;1;70;1;Consumer;.200;1;Attitude;.465;3;Multiple;.380
;2;2;50;1;Consumer;.340;1;Attitude;;;Attitude;
Maison et al. (2004);1;1;32;1;Consumer;.535;1;Attitude;.697;1;Attitude;.474
;2;2;39;1;Consumer;.352;1;Attitude;.592;1;Attitude;.431
;3;3;102;2;Consumer;.572;1;Attitude;.638;1;Attitude;.404
Maner et al. (2005);2;1;51;2;Other intergroup;-.130;1;Attitude;;;;
Marsh et al. (2001);1;1;36;1;Relationships;.107;2;Belief;.130;4;Multiple;.055
;1;2;71;1;Relationships;-.085;2;Belief;.461;3;Multiple;-.032
;1;3;80;1;Relationships;-.050;2;Belief;.317;4;Multiple;-.013
*Martens et al. (2005);1;1;35;1;Personality;.460;1;Self;.120;1;Attitude;-.120
Mauss et al. (2006);2;1;36;8;Clinical;.345;1;Self;;;;
McConnell & Leibold (2001);1;1;41;15;Race (Bl/Wh);.229;1;Attitude;.085;1;Attitude;.420
*McGraw & Mulligan (2003);1;1;93;2;Politics;.418;2;Attitude;.549;2;Self;.480
Mitchell et al. (2006);1;1;15;2;Politics;.434;2;Belief;-.021;1;Self;.173
Neumann et al. (2004);1;1;37;2;Gender/sex;.160;1;Attitude;.238;1;Attitude;.190
Nock & Banaji (2007a);1;1;89;4;Clinical;.493;2;Belief;;;;
Nock & Banaji (2007b);1;1;73;3;Clinical;.376;1;Self;;;;
Nosek & Hansen (2008);2;1;926;1;Politics;.647;1;Attitude;.866;2;Attitude;.637
;4;2;1.028;2;Consumer;.304;1;Attitude;.554;2;Attitude;.370
;5;3;82;1;Politics;.552;2;Attitude;.837;2;Attitude;.576
;7;4;203;2;Consumer;.459;1;Attitude;.780;2;Att/belief;.499
Nosek et al. (2002b);1;1;227;1;Personality;.380;1;Attitude;.490;1;Attitude;.420
*K. R. Olson et al. (2006);1;1;76;1;Gender/sex;.337;2;Attitude;.512;2;Attitude;.342
M. A. Olson & Fazio (2004);3;1;26;2;Consumer;.185;1;Attitude;.870;1;Attitude;.150
;3;2;33;2;Consumer;.526;1;Attitude;.880;1;Attitude;.670
;4;3;12;1;Politics;.310;1;Attitude;.830;1;Attitude;.560
;4;4;9;1;Politics;.610;1;Attitude;.850;1;Attitude;.730
Perugini (2005);1;1;48;1;Drugs/tobacco;.640;1;Attitude;.480;1;Attitude;.480
;2;2;109;2;Consumer;.190;1;Attitude;.278;1;Attitude;.090
Phelps et al. (2000);1;1;12;1;Race (Bl/Wh);.576;1;Attitude;-.047;1;Belief;
*Plessner et al. (2006);1;1;40;1;Consumer;.572;1;Attitude;.662;1;Attitude;.443
;2;2;109;2;Consumer;.093;2;Attitude;.301;3;Attitude;.138
*Powell & Williams (2000);1;1;55;1;Other intergroup;.313;1;Attitude;;;;
*Redker & Gibson (in press);1;1;68;1;Consumer;.262;1;Attitude;.357;1;Attitude;.210
Richeson et al. (2003);1;1;15;3;Race (Bl/Wh);.554;1;Attitude;;;;
;2;2;15;2;Race (Bl/Wh);.610;1;Attitude;;;;
Richeson & Shelton (2003);1;1;21;2;Race (Bl/Wh);.474;1;Attitude;.389;1;Attitude;.251
Robinson et al. (2005);1;1;48;1;Drugs/tobacco;.520;1;Attitude;.491;1;Attitude;.480
;2;2;52;1;Drugs/tobacco;.260;2;Attitude;.456;1;Attitude;.400
Robinson et al. (2006);1;1;96;1;Clinical;.210;1;Self;;;;
;2;2;61;4;Clinical;.309;1;Self;;;;
Ronay & Kim (2006);1;1;126;2;Personality;.204;2;Belief;.134;3;Belief;.090
Rudman & Ashmore (2007);1;1;64;3;Race (Bl/Wh);.265;2;Att/belief;.395;2;Att/belief;.268
;2;2;89;1;Other intergroup;.380;1;Belief;.239;3;Multiple;.530
;2;3;89;2;Other intergroup;.275;2;Att/belief;.181;3;Multiple;.192
;2;4;126;3;Race (Bl/Wh);.205;2;Att/belief;.033;3;Multiple;.225
Rudman & Glick (2001);1;1;27;2;Gender/sex;.367;1;Belief;.095;1;Belief;.040
;1;2;19;2;Gender/sex;.408;1;Belief;.297;1;Belief;.040
Rudman & Heppen (2003);1;1;77;3;Gender/sex;.318;1;Belief;.057;1;Belief;.170
;2;2;121;3;Gender/sex;.167;1;Belief;-.033;1;Belief;-.090
;3;3;73;4;Gender/sex;.269;2;Att/belief;-.104;2;Att/belief;-.242
Rudman & Lee (2002);2;1;38;3;Race (Bl/Wh);.232;1;Belief;.147;2;Belief;.190
Rydell & McConnell (2006);4;1;29;2;Relationships;.229;1;Attitude;.433;1;Attitude;-.030
*Sargent & Theil (2001);1;1;38;1;Race (Bl/Wh);.320;1;Attitude;.070;1;Belief;.010
Scarabis et al. (2006);1;1;25;1;Consumer;.595;2;Belief;.373;2;Attitude;.481
;1;2;24;2;Consumer;.287;2;Belief;.282;2;Attitude;.397
;1;3;25;3;Consumer;.165;2;Belief;.301;2;Attitude;.440
;1;4;24;4;Consumer;.066;2;Belief;.320;2;Attitude;-.039
Schnabel et al. (2006a);1;1;100;4;Clinical;.021;2;Self;.193;7;Self;.181
Schnabel et al. (2006b);1;1;58;1;Clinical;.170;1;Self;.360;1;Self;.150
Sekaquaptewa et al. (2003);1;1;79;1;Race (Bl/Wh);.030;1;Attitude;.010;1;Belief;.160
Sherman et al. (2003);1;1;54;1;Drugs/tobacco;.120;1;Attitude;;;;
*Shoda & Zayas (1999);2;1;84;6;Relationships;.060;3;Belief;.225;3;Belief;.217
;3;2;40;8;Relationships;.369;1;Belief;.097;1;Belief;-.054
*Smoak et al. (2006);1;1;19;3;Relationships;.341;1;Belief;.205;3;Belief;-.004
*Spicer & Monteith (2001);2;1;78;7;Race (Bl/Wh);.146;1;Attitude;;;;
Steffens & König (2006);1;1;89;7;Personality;.192;5;Self;.110;5;Self;.091
Swanson et al. (2001);2;1;101;2;Consumer;.250;2;Att/belief;.403;2;Att/belief;.473
;2;2;98;1;Drugs/tobacco;.221;2;Att/belief;.547;2;Att/belief;.166
;3;3;70;1;Drugs/tobacco;.357;2;Att/belief;.486;2;Att/belief;.276
Teachman (2005);1;1;103;3;Clinical;.277;1;Self;;;;
Teachman (2007);1;1;32;3;Clinical;.562;1;Attitude;.665;2;Attitude;.340
Teachman et al. (2001);1;1;67;1;Clinical;.543;4;Attitude;.856;1;Attitude;
Teachman et al. (2007);1;1;81;3;Clinical;.271;1;Self;.662;3;Multiple;.260
Teachman & Woody (2003);1;1;59;3;Clinical;.243;4;Multiple;.649;1;Belief;.340
Thush & Wiers (2007);1;1;100;2;Drugs/tobacco;.198;3;Multiple;.341;3;Multiple;.074
Thush et al. (2007);1;1;81;1;Drugs/tobacco;.075;3;Belief;.378;3;Belief;.023
van den Wildenberg et al. (2006);1;1;48;2;Drugs/tobacco;.183;2;Att/belief;.132;2;Belief;-.033
Vanman et al. (2004);1;1;59;1;Race (Bl/Wh);.170;1;Attitude;.251;1;Attitude;.042
;1;2;21;3;Race (Bl/Wh);.024;1;Attitude;.193;1;Attitude;.106
Vantomme et al. (2005);1;1;60;2;Consumer;.224;1;Attitude;.386;1;Attitude;.190
;2;2;67;2;Consumer;.298;1;Attitude;.493;1;Attitude;.330
Vargas et al. (2004);4;1;226;1;Personality;.170;1;Self;.587;3;Multiple;.120
Verplanken et al. (2007);5;1;125;2;Personality;.201;1;Self;.441;1;Self;.065
Wiers et al. (2002);1;1;48;1;Drugs/tobacco;.335;2;Att/belief;.320;5;Multiple;.183
Wiers et al. (2005);1;1;92;5;Drugs/tobacco;.119;2;Att/belief;.035;2;Att/belief;.200
Wiers et al. (2007);1;1;32;2;Drugs/tobacco;.227;3;Multiple;.213;3;Multiple;.109
*Williams et al. (2001);1;1;74;2;Consumer;.334;1;Self;;;;
Yabar et al. (2006);2;1;48;1;Other intergroup;.099;1;Attitude;-.282;1;Attitude;.550
Zayas & Shoda (2005);1;1;58;1;Relationships;.280;1;Attitude;;;;
;2;2;85;3;Relationships;.207;3;Multiple;;;;
Ziegert & Hanges (2005);1;1;99;1;Race (Bl/Wh);.259;1;Attitude;.056;2;Attitude;.116
